stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3437,,Centro Commerciale,,45.044586,12.059816,,,,,,
3438,,Lugo - fronte Capolinea,,45.372032,12.134615,,,,,,
3439,,Rottanova Centro,,45.141716,12.013440,,,,,,
3440,,Adria Ospedale,,45.048107,12.055657,,,,,,
3441,,Adria Ospedale,,45.048130,12.055812,,,,,,
3444,,Cavanella - Capolinea,,45.109657,12.245361,,,,,,
3446,,bivio B. Barbariga,,45.412716,12.017199,,,,,,
3447,,bivio B. Barbariga,,45.412655,12.017598,,,,,,
3448,,Casello 9  bivio Paluello,,45.418388,12.050804,,,,,,
3449,,Casello 9  bivio Paluello,,45.418423,12.053370,,,,,,
3450,,Ca' Pasqua - Capolinea,,45.183666,12.242985,,,,,,
3453,,Civico 22,,45.495384,12.117554,,,,,,
3454,,Civico 14 (v.Ca'Brandin),,45.124363,12.084412,,,,,,
3455,,Civico 21  (molino),,45.120548,12.112724,,,,,,
3456,,Civico 6  - Ca' Briani,,45.115852,12.139364,,,,,,
3457,,Punta Pali,,45.102650,12.147126,,,,,,
3458,,dopo il ponte,,45.102539,12.138394,,,,,,
3459,,Capitello Madonna,,45.094872,12.114182,,,,,,
3460,,Civico 60,,45.087654,12.109684,,,,,,
3461,,Ponte Grignella,,45.072025,12.099201,,,,,,
3462,,Scuola Elementare,,45.075378,12.093847,,,,,,
3463,,Civico 13,,45.078869,12.088486,,,,,,
3465,,Agenzia Delle Entrate,,45.470997,12.210854,,,,,,
3475,,Istituto Gris,,45.558361,12.269529,,,,,,
3476,,Istituto Gris,,45.558105,12.269232,,,,,,
3477,,Localita' Stanga,,45.409061,11.903627,,,,,,
3480,,Martellago Centro,,45.546009,12.157515,,,,,,
3490,,Villaggio dei Fiori,,45.492313,12.150464,,,,,,
3491,,Civico 9,,45.215336,12.292016,,,,,,
3492,,Civico 12,,45.215031,12.292194,,,,,,
3494,,Scuole,,45.208271,12.292160,,,,,,
3495,,"Pasticceria ""Da Berto""",,45.208179,12.289858,,,,,,
3501,,Brondolo,,45.184643,12.278858,,,,,,
3502,,Brondolo,,45.181610,12.279794,,,,,,
3503,,Brondolo,,45.181683,12.279724,,,,,,
3504,,Cantiere Munari,,45.427792,12.257347,,,,,,
3505,,Brondolo Centro,,45.184746,12.278878,,,,,,
